Matrix,Matrix_Density,Matrix_Strenth,%Matrix,Density_R1,Strenth_R1,R1,R1%,R1_Size,Density_R2,Strenth_R2,R2,R2%,R2_Size,Stir_Speed,Stir_Time,Mix_Temp,Mould_Preheat,UTS,Porosity,Therotical Density,Exp Density
AA7020,3,215,81,3.177,137.86,SiC,10,50,2.065,18,Graphite,9,45,400,10,780,,272.75,,,2.935
AA7050,3,530,97,2.1,55.15,h-BN,2,40,4.23,350.4,TiO2,1,40,280,2,780,,103.85,1.07,2.833,2.803
AA7050,3,530,95,2.1,55.15,h-BN,2,40,4.23,350.4,TiO2,3,40,280,2,780,,108.41,1.51,2.861,2.818
AA7050,3,530,93,2.1,55.15,h-BN,2,40,4.23,350.4,TiO2,5,40,280,2,780,,113.95,1.83,2.889,2.836
AA7075,2.695,268.9,98,3.77,575,Al2O3,1,0.025,1.738,205,Mg,1,,,,650,,272.1,0.148478099,2.694,2.69
AA7075,2.695,268.9,97,3.77,575,Al2O3,2,0.025,1.738,205,Mg,1,,,,650,,278.5,0.186219739,2.685,2.68
AA7075,2.695,268.9,96,3.77,575,Al2O3,3,0.025,1.738,205,Mg,1,,,,650,,283.84,0.224215247,2.676,2.67
AA7075,2.695,268.9,95,3.77,575,Al2O3,4,0.025,1.738,205,Mg,1,,,,650,,287.04,0.074850299,2.672,2.67
AA7075,2.775,220.225,94,2.579,350,B4C,3,1,2.1,55.15,BN,3,10,600,20,950,350,248.314,,,
AA7075,2.775,220.225,91,2.579,350,B4C,6,1,2.1,55.15,BN,3,10,600,20,950,350,265.168,,,
AA7075,2.775,220.225,88,2.579,350,B4C,9,1,2.1,55.15,BN,3,10,600,20,950,350,284.269,,,
AA7075,2.81,220,97,2.17,,Fly Ash,1.5,79.5,3.1,137.86,SiC,1.5,53,600,10,700,,230.972,,2.792,
AA7075,2.81,220,94,2.17,,Fly Ash,3,79.5,3.1,137.86,SiC,3,53,600,10,700,,241.899,,2.775,
AA7075,2.81,220,91,2.17,,Fly Ash,4.5,79.5,3.1,137.86,SiC,4.5,53,600,10,700,,253.129,,2.757,
AA7075,2.81,220,97,2.17,,Fly Ash,1.5,79.5,3.69,575,Al2O3,1.5,53,600,10,700,,222.22,,2.801,
AA7075,2.81,220,94,2.17,,Fly Ash,3,79.5,3.69,575,Al2O3,3,53,600,10,700,,224.34,,2.792,
AA7075,2.81,220,91,2.17,,Fly Ash,4.5,79.5,3.69,575,Al2O3,4.5,53,600,10,700,,226.46,,2.784,
AA7075,2.775,240,96,2.579,350,B4C,4,0.05,2.65,130,porcelain,0,53,350,10,930,200,142.16,0.832702498,2.642,2.62
AA7075,2.775,240,92,2.579,350,B4C,4,0.05,2.65,130,porcelain,4,53,350,10,930,200,147.95,0.793650794,2.52,2.5
AA7075,2.775,240,88,2.579,350,B4C,4,0.05,2.65,130,porcelain,8,53,350,10,930,200,174.4,0.760304122,2.499,2.48
AA7075,2.775,240,84,2.579,350,B4C,4,0.05,2.65,130,porcelain,12,53,350,10,930,200,199.62,0.648824006,2.466,2.45
AA7075,2.775,240,80,2.579,350,B4C,4,0.05,2.65,130,porcelain,16,53,350,10,930,200,224.01,1.239669421,2.42,2.39
AA7075,2.82,240,97,2.648,350,B4C,2,62,2.28,18,Graphite,1,62,,,650,,129.306,,,
AA7075,2.82,240,95,2.648,350,B4C,2,62,2.28,18,Graphite,3,62,,,650,,134.259,,,
AA7075,2.82,240,93,2.648,350,B4C,2,62,2.28,18,Graphite,5,62,,,650,,141.896,,,
AA7075,2.82,240,95,2.648,350,B4C,4,62,2.28,18,Graphite,1,62,,,650,,130.486,,,
AA7075,2.82,240,93,2.648,350,B4C,4,62,2.28,18,Graphite,3,62,,,650,,136.338,,,
AA7075,2.82,240,91,2.648,350,B4C,4,62,2.28,18,Graphite,5,62,,,650,,137.223,,,
AA7075,2.82,240,93,2.648,350,B4C,6,62,2.28,18,Graphite,1,62,,,650,,132.301,,,
AA7075,2.82,240,91,2.648,350,B4C,6,62,2.28,18,Graphite,3,62,,,650,,191.828,,,
AA7075,2.82,240,89,2.648,350,B4C,6,62,2.28,18,Graphite,5,62,,,650,,136.248,,,
AA7075,2.775,240,97,2.45,,Bagasse ash,2,50.05,2.065,18,Graphite,1,40,250,15,750,,259.3,,,
AA7075,2.775,240,95,2.45,,Bagasse ash,2,50.05,2.065,18,Graphite,3,40,250,15,750,,265.4,,,
AA7075,2.775,240,93,2.45,,Bagasse ash,2,50.05,2.065,18,Graphite,5,40,250,15,750,,272.3,,,
AA7075,2.775,240,95,2.45,,Bagasse ash,4,50.05,2.065,18,Graphite,1,40,250,15,750,,267.3,,,
AA7075,2.775,240,93,2.45,,Bagasse ash,4,50.05,2.065,18,Graphite,3,40,250,15,750,,283.4,,,
AA7075,2.775,240,91,2.45,,Bagasse ash,4,50.05,2.065,18,Graphite,5,40,250,15,750,,290.3,,,
